date,inflexEV,noEV,smartEV,time,utilities
2024-08-24 02:00:00,127.8685179,215.4430156,0.0,2,SDGE
2024-08-24 03:00:00,200.7778325,0.0,316.4620984,3,SDGE
2024-08-24 04:00:00,144.112801,687.4989154,274.515581,4,SDGE
2024-08-24 05:00:00,0.0,0.0,0.0,5,SDGE
2024-08-24 06:00:00,0.0,1108.381033,1202.512737,6,SDGE
2024-08-24 07:00:00,0.0,0.0,0.0,7,SDGE
2024-08-24 08:00:00,0.0,0.0,0.0,8,SDGE
2024-08-24 09:00:00,0.0,0.0,0.0,9,SDGE
2024-08-24 10:00:00,0.0,0.0,0.0,10,SDGE
2024-08-24 11:00:00,0.0,0.0,0.0,11,SDGE
2024-08-24 12:00:00,0.0,0.0,0.0,12,SDGE
2024-08-24 13:00:00,0.0,0.0,0.0,13,SDGE
2024-08-24 14:00:00,36.06037484,25.81267336,25.81267336,14,SDGE
2024-08-24 15:00:00,50.12529076,39.87758927,39.87758927,15,SDGE
2024-08-24 16:00:00,10.24770149,0.0,0.0,16,SDGE
2024-08-24 17:00:00,0.0,0.0,0.0,17,SDGE
2024-08-24 18:00:00,0.0,0.0,0.0,18,SDGE
2024-08-24 19:00:00,0.0,0.0,0.0,19,SDGE
2024-08-24 20:00:00,25.51338938,15.26568789,15.26568789,20,SDGE
2024-08-24 21:00:00,0.0,0.0,62.60584361,21,SDGE
2024-08-24 22:00:00,0.0,0.0,0.0,22,SDGE
2024-08-24 23:00:00,0.0,0.0,0.0,23,SDGE
2024-08-24 00:00:00,0.0,0.0,0.0,0,SMUD
2024-08-24 01:00:00,0.0,0.0,0.0,1,SMUD
2024-08-24 02:00:00,0.0,37.0286908,0.0,2,SMUD
2024-08-24 03:00:00,0.0,0.0,0.0,3,SMUD
2024-08-24 04:00:00,0.0,0.0,0.0,4,SMUD
2024-08-24 05:00:00,0.0,0.0,0.0,5,SMUD
2024-08-24 06:00:00,0.0,0.0,0.0,6,SMUD
2024-08-24 07:00:00,0.0,0.0,0.0,7,SMUD
2024-08-24 08:00:00,0.0,0.0,0.0,8,SMUD
2024-08-24 09:00:00,0.0,0.0,0.0,9,SMUD
2024-08-24 10:00:00,0.0,0.0,0.0,10,SMUD
2024-08-24 11:00:00,0.0,0.0,0.0,11,SMUD
2024-08-24 12:00:00,0.0,43.87228041,0.0,12,SMUD
2024-08-24 13:00:00,0.0,80.89308392,28.69308396,13,SMUD
2024-08-24 14:00:00,0.0,110.8030769,58.60307687,14,SMUD
2024-08-24 15:00:00,0.0,0.0,78.76448102,15,SMUD
2024-08-24 16:00:00,79.45904348,0.0,45.43883827,16,SMUD
2024-08-24 17:00:00,50.01642388,0.0,49.69854302,17,SMUD
2024-08-24 18:00:00,0.0,0.0,18.6246596,18,SMUD
2024-08-24 19:00:00,0.0,0.0,0.0,19,SMUD
2024-08-24 20:00:00,0.0,0.0,0.0,20,SMUD
2024-08-24 21:00:00,0.0,0.0,0.0,21,SMUD
2024-08-24 22:00:00,0.0,0.0,0.0,22,SMUD
2024-08-24 23:00:00,0.0,0.0,0.0,23,SMUD
2024-08-24 00:00:00,946.175337,523.2590824,610.1970951,0,TIDC
2024-08-24 01:00:00,770.5788763,447.5248813,174.05041,1,TIDC
2024-08-24 02:00:00,510.8628801,0.0,183.8031089,2,TIDC
2024-08-24 03:00:00,440.0099234,423.7736148,200.2740455,3,TIDC
2024-08-24 04:00:00,411.8960871,406.0881341,203.529773,4,TIDC
2024-08-24 05:00:00,439.8413867,434.5183907,198.7766553,5,TIDC
2024-08-24 06:00:00,517.1381245,506.3500865,192.9706799,6,TIDC
2024-08-24 07:00:00,1064.240819,778.6937384,180.0065948,7,TIDC
2024-08-24 08:00:00,1404.907824,1361.080732,145.6483479,8,TIDC
2024-08-24 09:00:00,1579.043443,61.92428393,113.9434426,9,TIDC
2024-08-24 10:00:00,1544.159505,1492.111531,79.05950529,10,TIDC
2024-08-24 11:00:00,1508.231766,1456.202175,43.30217516,11,TIDC
2024-08-24 12:00:00,1473.238275,0.0,8.327719613,12,TIDC
2024-08-24 13:00:00,1261.802308,0.0,0.0,13,TIDC
2024-08-24 14:00:00,1231.873594,0.0,0.0,14,TIDC
2024-08-24 15:00:00,1211.691177,1334.135519,0.0,15,TIDC
2024-08-24 16:00:00,0.0,1435.804242,0.0,16,TIDC
2024-08-24 17:00:00,0.0,1169.205003,0.0,17,TIDC
2024-08-24 18:00:00,984.2625435,1014.068735,0.0,18,TIDC
2024-08-24 19:00:00,843.0157432,86.33067749,1181.923101,19,TIDC
2024-08-24 20:00:00,612.5441327,761.7203821,103.1178308,20,TIDC
2024-08-24 21:00:00,369.8769645,644.2228041,521.6164474,21,TIDC
2024-08-24 22:00:00,396.6736512,678.0545119,643.3241961,22,TIDC
2024-08-24 23:00:00,10.74962035,11.98959805,368.1907146,23,TIDC
