time,spatialGroup,siteType,chargerType,chargingLoad,numPlugged
11.75,Santa Clara,Residential,j-1772-2,6.7,1
11.75,Santa Clara,Non-Residential,j-1772-2,20.1,10
11.75,San Francisco,Residential,j-1772-2,6.7,1
11.75,San Francisco,Non-Residential,j-1772-2,0.0,0
11.75,Alameda,Residential,j-1772-2,0.0,0
11.75,Alameda,Non-Residential,j-1772-2,0.0,1
11.75,Marin,Residential,j-1772-2,6.7,1
11.75,San Mateo,Residential,j-1772-2,1.7763568394002505E-15,2
11.75,San Mateo,Non-Residential,j-1772-2,6.700000000000002,9
11.75,Contra Costa,Non-Residential,j-1772-2,6.7,2
12.0,Santa Clara,Residential,j-1772-2,6.7,1
12.0,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,11
12.0,San Francisco,Residential,j-1772-2,13.4,2
12.0,San Francisco,Non-Residential,j-1772-2,0.0,0
12.0,Alameda,Residential,j-1772-2,0.0,0
12.0,Alameda,Non-Residential,j-1772-2,0.0,1
12.0,Marin,Residential,j-1772-2,6.7,1
12.0,San Mateo,Residential,j-1772-2,6.700000000000002,3
12.0,San Mateo,Non-Residential,j-1772-2,6.700000000000002,9
12.0,Contra Costa,Non-Residential,j-1772-2,6.7,2
12.25,Santa Clara,Residential,j-1772-2,6.7,1
12.25,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,11
12.25,San Francisco,Residential,j-1772-2,13.4,2
12.25,San Francisco,Non-Residential,j-1772-2,6.7,1
12.25,Alameda,Residential,j-1772-2,0.0,0
12.25,Alameda,Non-Residential,j-1772-2,0.0,1
12.25,Marin,Residential,j-1772-2,6.7,1
12.25,San Mateo,Residential,j-1772-2,6.700000000000002,3
12.25,San Mateo,Non-Residential,j-1772-2,13.400000000000002,10
12.25,Contra Costa,Non-Residential,j-1772-2,6.7,2
12.5,Santa Clara,Residential,j-1772-2,6.7,1
12.5,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,12
12.5,San Francisco,Residential,j-1772-2,6.7,2
12.5,San Francisco,Non-Residential,j-1772-2,6.7,1
12.5,Alameda,Residential,j-1772-2,0.0,0
12.5,Alameda,Non-Residential,j-1772-2,0.0,1
12.5,Marin,Residential,j-1772-2,6.7,1
12.5,San Mateo,Residential,j-1772-2,6.700000000000002,3
12.5,San Mateo,Non-Residential,j-1772-2,20.1,11
12.5,Contra Costa,Non-Residential,j-1772-2,0.0,2
12.75,Santa Clara,Residential,j-1772-2,6.7,1
12.75,Santa Clara,Non-Residential,j-1772-2,20.1,13
12.75,San Francisco,Residential,j-1772-2,6.7,2
12.75,San Francisco,Non-Residential,j-1772-2,13.4,2
12.75,Alameda,Residential,j-1772-2,0.0,0
12.75,Alameda,Non-Residential,j-1772-2,0.0,1
12.75,Marin,Residential,j-1772-2,0.0,1
12.75,San Mateo,Residential,j-1772-2,6.700000000000002,3
12.75,San Mateo,Non-Residential,j-1772-2,26.8,12
12.75,Contra Costa,Non-Residential,j-1772-2,0.0,2
13.0,Santa Clara,Residential,j-1772-2,13.4,2
13.0,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,12
13.0,San Francisco,Residential,j-1772-2,6.7,3
13.0,San Francisco,Non-Residential,j-1772-2,6.7,1
13.0,Alameda,Residential,j-1772-2,0.0,0
13.0,Alameda,Non-Residential,j-1772-2,0.0,1
13.0,Marin,Residential,j-1772-2,0.0,1
13.0,San Mateo,Residential,j-1772-2,13.400000000000002,4
13.0,San Mateo,Non-Residential,j-1772-2,20.1,12
13.0,Contra Costa,Non-Residential,j-1772-2,0.0,2
13.25,Santa Clara,Residential,j-1772-2,6.7,1
13.25,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,12
13.25,San Francisco,Residential,j-1772-2,6.7,3
13.25,San Francisco,Non-Residential,j-1772-2,0.0,1
13.25,Alameda,Residential,j-1772-2,0.0,0
13.25,Alameda,Non-Residential,j-1772-2,0.0,1
13.25,Marin,Residential,j-1772-2,0.0,1
13.25,San Mateo,Residential,j-1772-2,6.700000000000002,4
13.25,San Mateo,Non-Residential,j-1772-2,20.1,11
13.25,Contra Costa,Non-Residential,j-1772-2,0.0,2
13.5,Santa Clara,Residential,j-1772-2,6.7,1
13.5,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,12
13.5,San Francisco,Residential,j-1772-2,6.7,3
13.5,San Francisco,Non-Residential,j-1772-2,0.0,1
13.5,Alameda,Residential,j-1772-2,0.0,0
13.5,Alameda,Non-Residential,j-1772-2,0.0,1
13.5,Marin,Residential,j-1772-2,6.7,2
13.5,San Mateo,Residential,j-1772-2,6.700000000000002,4
13.5,San Mateo,Non-Residential,j-1772-2,26.8,12
13.5,Contra Costa,Non-Residential,j-1772-2,0.0,2
13.75,Santa Clara,Residential,j-1772-2,0.0,1
13.75,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,13
13.75,San Francisco,Residential,j-1772-2,6.7,3
13.75,San Francisco,Non-Residential,j-1772-2,0.0,1
13.75,Alameda,Residential,j-1772-2,0.0,0
13.75,Alameda,Non-Residential,j-1772-2,0.0,1
13.75,Marin,Residential,j-1772-2,6.7,2
13.75,San Mateo,Residential,j-1772-2,13.400000000000002,5
13.75,San Mateo,Non-Residential,j-1772-2,20.1,13
13.75,Contra Costa,Non-Residential,j-1772-2,0.0,2
14.0,Santa Clara,Residential,j-1772-2,0.0,1
14.0,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,13
14.0,San Francisco,Residential,j-1772-2,0.0,3
14.0,San Francisco,Non-Residential,j-1772-2,0.0,1
14.0,Alameda,Residential,j-1772-2,0.0,0
14.0,Alameda,Non-Residential,j-1772-2,0.0,1
14.0,Marin,Residential,j-1772-2,6.7,2
14.0,San Mateo,Residential,j-1772-2,13.400000000000002,5
14.0,San Mateo,Non-Residential,j-1772-2,20.1,13
14.0,Contra Costa,Non-Residential,j-1772-2,0.0,2
14.25,Santa Clara,Residential,j-1772-2,0.0,1
14.25,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,13
14.25,San Francisco,Residential,j-1772-2,0.0,3
14.25,San Francisco,Non-Residential,j-1772-2,0.0,1
14.25,Alameda,Residential,j-1772-2,0.0,0
14.25,Alameda,Non-Residential,j-1772-2,0.0,1
14.25,Marin,Residential,j-1772-2,6.7,2
14.25,San Mateo,Residential,j-1772-2,6.700000000000002,5
14.25,San Mateo,Non-Residential,j-1772-2,13.400000000000002,13
14.25,Contra Costa,Non-Residential,j-1772-2,0.0,2
14.5,Santa Clara,Residential,j-1772-2,6.7,2
14.5,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,14
14.5,San Francisco,Residential,j-1772-2,0.0,3
14.5,San Francisco,Non-Residential,j-1772-2,0.0,1
14.5,Alameda,Residential,j-1772-2,0.0,0
14.5,Alameda,Non-Residential,j-1772-2,0.0,1
14.5,Marin,Residential,j-1772-2,0.0,2
14.5,San Mateo,Residential,j-1772-2,6.700000000000002,5
14.5,San Mateo,Non-Residential,j-1772-2,20.1,14
14.5,Contra Costa,Non-Residential,j-1772-2,0.0,2
14.75,Santa Clara,Residential,j-1772-2,0.0,1
14.75,Santa Clara,Non-Residential,j-1772-2,20.1,14
14.75,San Francisco,Residential,j-1772-2,0.0,3
14.75,San Francisco,Non-Residential,j-1772-2,0.0,1
14.75,Alameda,Residential,j-1772-2,0.0,0
14.75,Alameda,Non-Residential,j-1772-2,0.0,1
14.75,Marin,Residential,j-1772-2,0.0,2
14.75,San Mateo,Residential,j-1772-2,13.400000000000002,7
14.75,San Mateo,Non-Residential,j-1772-2,1.7763568394002505E-15,13
14.75,Contra Costa,Non-Residential,j-1772-2,0.0,2
15.0,Santa Clara,Residential,j-1772-2,0.0,1
15.0,Santa Clara,Non-Residential,j-1772-2,20.1,14
15.0,San Francisco,Residential,j-1772-2,0.0,3
15.0,San Francisco,Non-Residential,j-1772-2,0.0,1
15.0,Alameda,Residential,j-1772-2,0.0,0
15.0,Alameda,Non-Residential,j-1772-2,0.0,1
15.0,Marin,Residential,j-1772-2,0.0,2
15.0,San Mateo,Residential,j-1772-2,20.1,8
15.0,San Mateo,Non-Residential,j-1772-2,6.700000000000002,14
15.0,Contra Costa,Non-Residential,j-1772-2,0.0,2
15.25,Santa Clara,Residential,j-1772-2,6.7,2
15.25,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,13
15.25,San Francisco,Residential,j-1772-2,0.0,3
15.25,San Francisco,Non-Residential,j-1772-2,0.0,1
15.25,Alameda,Residential,j-1772-2,0.0,0
15.25,Alameda,Non-Residential,j-1772-2,0.0,1
15.25,Marin,Residential,j-1772-2,0.0,2
15.25,San Mateo,Residential,j-1772-2,26.8,9
15.25,San Mateo,Non-Residential,j-1772-2,1.7763568394002505E-15,12
